skill_name	tier	has_scripts	has_references	has_examples	has_skill_md
accessibility-patterns	T1	0	1	0	1
agent-development-pack	T0	0	0	0	1
agent-swarm-orchestrator	T1	0	1	0	1
agent-testing-patterns	T0	0	0	0	1
algorithmic-art	T1	0	1	0	1
api-design-patterns	T1	0	1	0	1
artifact-resurfacing	T3	1	1	1	1
artifacts-builder	T2	1	1	0	1
audio-engineering-patterns	T1	0	1	0	1
backend-implementation-patterns	T1	0	1	0	1
blockchain-integration-builder	T1	0	1	0	1
brand-guidelines	T1	0	1	0	1
browser-extension-patterns	T0	0	0	0	1
canvas-design	T1	0	1	0	1
claude-project-manifest	T1	0	1	0	1
cli-tool-design	T0	0	0	0	1
closeout	T0	0	0	0	1
code-refactoring-patterns	T1	0	1	0	1
coding-standards-enforcer	T1	0	1	0	1
community-platform-patterns	T0	0	0	0	1
configuration-management	T0	0	0	0	1
consolidate-memory	T0	0	0	0	1
content-distribution	T1	0	1	0	1
continuous-learning-agent	T1	0	1	0	1
contract-risk-analyzer	T1	0	1	0	1
conversation-content-pipeline	T0	0	0	0	1
creative-writing-craft	T1	0	1	0	1
cross-agent-handoff	T0	0	0	0	1
cv-resume-builder	T1	0	1	0	1
data-backup-patterns	T0	0	0	0	1
data-ingestion-pipeline	T0	0	0	0	1
data-pipeline-architect	T1	0	1	0	1
data-storytelling-analyst	T1	0	1	0	1
database-migration-patterns	T0	0	0	0	1
defi-trading-systems	T1	0	1	0	1
deployment-cicd	T1	0	1	0	1
doc-coauthoring	T1	0	1	0	1
docker-containerization	T0	0	0	0	1
document-audit-extraction	T0	0	0	0	1
domain-ideal-whole-substrate	T2	1	1	0	1
dotfile-systems-architect	T1	0	1	0	1
ecosystem-autopsy	T2	1	1	0	1
enc1101-curriculum-designer	T1	0	1	0	1
error-handling-logging-patterns	T0	0	0	0	1
essay-publishing-pipeline	T0	0	0	0	1
essay-to-distribution-pack	T0	0	0	0	1
evaluation-to-growth	T1	0	1	0	1
expansive-inquiry	T0	0	0	0	1
fastapi-patterns	T0	0	0	0	1
feature-workflow-orchestrator	T1	0	1	0	1
feedback-pedagogy	T1	0	1	0	1
freelance-client-ops	T1	0	1	0	1
frontend-design-systems	T1	0	1	0	1
fullstack-starter-pack	T0	0	0	0	1
game-mechanics-designer	T1	0	1	0	1
gcp-resource-optimizer	T1	0	1	0	1
gdpr-compliance-check	T1	0	1	0	1
generative-art-algorithms	T1	0	1	0	1
generative-art-deployment	T0	0	0	0	1
generative-music-composer	T1	0	1	0	1
github-profile-architect	T1	0	1	0	1
github-repo-curator	T1	0	1	0	1
github-repository-standards	T1	0	1	0	1
github-roadmap-strategist	T1	0	1	0	1
grant-proposal-writer	T1	0	1	0	1
htmx-interaction-patterns	T0	0	0	0	1
inbound-opportunity-protocol	T0	0	0	0	1
incident-response-commander	T1	0	1	0	1
interactive-theatre-designer	T1	0	1	0	1
interfaith-sacred-geometry	T1	0	1	0	1
internal-comms	T2	0	1	1	1
interview-preparation	T1	0	1	0	1
iterative-code-exploration	T1	0	1	0	1
json-schema-design	T0	0	0	0	1
knowledge-architecture	T1	0	1	0	1
knowledge-graph-builder	T1	0	1	0	1
local-llm-fine-tuning	T1	0	1	0	1
location-ar-experience	T1	0	1	0	1
market-gap-analysis	T0	0	0	0	1
mcp-builder	T2	1	1	0	1
mcp-integration-patterns	T1	0	1	0	1
mcp-server-orchestrator	T1	0	1	0	1
ml-experiment-tracker	T1	0	1	0	1
mobile-platform-architect	T1	0	1	0	1
modular-synthesis-philosophy	T1	0	1	0	1
monorepo-devops-pack	T0	0	0	0	1
monorepo-management	T0	0	0	0	1
movement-notation-systems	T1	0	1	0	1
multi-agent-workforce-planner	T1	0	1	0	1
narratological-algorithms	T1	0	1	0	1
networking-outreach	T1	0	1	0	1
nextjs-fullstack-patterns	T1	0	1	0	1
oauth-flow-architect	T1	0	1	0	1
ontological-renamer	T1	0	1	0	1
organvm-governance-pack	T0	0	0	0	1
parametrize-and-cite	T1	0	1	0	1
personalized-storefront-render	T0	0	0	0	1
pitch-deck-patterns	T0	0	0	0	1
portfolio-presentation	T1	0	1	0	1
posse-distribution-architecture	T0	0	0	0	1
postgres-advanced-patterns	T1	0	1	0	1
premortem	T0	0	0	0	1
product-domain-engine	T2	1	1	0	1
product-requirements-designer	T1	0	1	0	1
project-alchemy-orchestrator	T1	0	1	0	1
project-orchestration	T1	0	1	0	1
promotion-readiness-checklist	T0	0	0	0	1
prompt-engineering-patterns	T0	0	0	0	1
python-backend-pack	T0	0	0	0	1
python-packaging-patterns	T0	0	0	0	1
qa-audit	T0	0	0	0	1
react-three-fiber-patterns	T0	0	0	0	1
reality-tv-narrative-analyzer	T1	0	1	0	1
realtime-websocket-patterns	T0	0	0	0	1
recursive-systems-architect	T1	0	1	0	1
redis-patterns	T0	0	0	0	1
repo-onboarding-flow	T0	0	0	0	1
research-synthesis-workflow	T1	0	1	0	1
resilience-patterns	T0	0	0	0	1
responsive-design-patterns	T1	0	1	0	1
rust-systems-design	T1	0	1	0	1
schedule	T0	0	0	0	1
script-analysis-dramaturgical	T0	0	0	0	1
second-brain-librarian	T1	0	1	0	1
security-essentials-pack	T0	0	0	0	1
security-implementation-guide	T1	0	1	0	1
security-threat-modeler	T1	0	1	0	1
session-lifecycle-patterns	T0	0	0	0	1
setup-cowork	T0	0	0	0	1
shell-history-hygiene	T1	1	0	0	1
skill-chain-prompts	T1	0	1	0	1
